Year,Region,Crop,Season,Yield_kg_per_ha,Area_ha,Production_tonnes,Rainfall_mm,Avg_Temp_C,Fertilizer_kg_per_ha
2019,Uttar Pradesh,Wheat,Zaid,778.9,3598.1,2802.56,51.5,34.9,93.3
2019,Uttar Pradesh,Maize,Kharif,2997.4,2079.1,6231.89,721.0,25.3,131.6
2019,Uttar Pradesh,Maize,Rabi,2196.3,2213.7,4861.95,130.3,15.8,145.4
2019,Uttar Pradesh,Maize,Zaid,2427.7,2449.5,5946.65,67.9,32.1,160.7
2019,Uttar Pradesh,Cotton,Kharif,528.6,1874.8,991.02,885.4,26.0,161.3
2019,Uttar Pradesh,Cotton,Rabi,311.7,1698.1,529.3,110.8,15.7,181.5
2019,Uttar Pradesh,Sugarcane,Kharif,77346.9,915.8,70834.29,824.6,33.3,150.1
2019,Uttar Pradesh,Sugarcane,Rabi,68198.0,1125.1,76729.57,193.4,19.1,181.3
2019,Uttar Pradesh,Sugarcane,Zaid,64859.2,915.1,59352.65,267.5,31.8,122.3
2019,Uttar Pradesh,Pulses,Kharif,930.0,1746.4,1624.15,912.0,27.9,116.7
2019,Uttar Pradesh,Pulses,Rabi,1100.3,1725.1,1898.13,111.6,22.9,104.2
2019,Uttar Pradesh,Pulses,Zaid,639.7,1693.8,1083.52,130.5,28.2,198.7
2019,Uttar Pradesh,Soybean,Kharif,1244.3,1186.5,1476.36,922.8,28.6,125.0
2019,Uttar Pradesh,Groundnut,Kharif,1768.6,1245.3,2202.44,819.2,22.3,172.0
2019,Uttar Pradesh,Groundnut,Rabi,1473.7,1115.1,1643.32,288.9,17.5,154.7
2019,Uttar Pradesh,Groundnut,Zaid,1346.0,958.5,1290.14,70.2,30.7,128.4
2019,Madhya Pradesh,Rice,Kharif,2180.7,4527.3,9872.68,821.6,30.7,147.7
2019,Madhya Pradesh,Rice,Rabi,903.6,3995.5,3610.33,170.4,19.7,122.2
2019,Madhya Pradesh,Rice,Zaid,997.3,4629.5,4617.0,30.0,29.6,134.9
2019,Madhya Pradesh,Wheat,Kharif,467.8,3881.7,1815.86,937.9,26.8,146.5
2019,Madhya Pradesh,Wheat,Rabi,3042.6,3963.6,12059.65,194.5,20.0,132.2
2019,Madhya Pradesh,Wheat,Zaid,680.1,4098.0,2787.05,109.6,33.7,166.6
2019,Madhya Pradesh,Maize,Kharif,2160.2,1982.6,4282.81,814.3,31.5,159.8
2019,Madhya Pradesh,Maize,Rabi,1784.7,1833.7,3272.6,170.3,15.9,139.8
2019,Madhya Pradesh,Maize,Zaid,1784.2,2333.1,4162.72,261.6,25.5,132.0
2019,Madhya Pradesh,Cotton,Kharif,469.2,1770.6,830.77,804.9,26.7,145.1
2019,Madhya Pradesh,Cotton,Rabi,296.2,1495.2,442.88,189.8,13.7,104.8
2019,Madhya Pradesh,Sugarcane,Kharif,64960.1,926.1,60159.55,832.9,21.9,179.3
2019,Madhya Pradesh,Sugarcane,Rabi,63232.9,847.0,53558.27,119.6,19.0,119.3
2019,Madhya Pradesh,Sugarcane,Zaid,63994.9,973.5,62299.04,242.6,23.7,118.9
2019,Madhya Pradesh,Pulses,Kharif,760.3,1731.2,1316.23,886.6,28.7,140.3
2019,Madhya Pradesh,Pulses,Rabi,1052.1,1734.0,1824.34,58.2,24.8,150.2
2019,Madhya Pradesh,Pulses,Zaid,552.8,1578.2,872.43,268.8,30.6,144.6
2019,Madhya Pradesh,Soybean,Kharif,1205.2,1063.9,1282.21,785.3,27.5,106.1
2019,Madhya Pradesh,Groundnut,Kharif,1629.9,829.7,1352.33,705.2,29.0,186.9
2019,Madhya Pradesh,Groundnut,Rabi,1418.5,1002.6,1422.19,73.8,20.2,176.9
2019,Madhya Pradesh,Groundnut,Zaid,1195.9,1054.3,1260.84,109.4,31.5,128.3
2019,Rajasthan,Rice,Kharif,1647.5,4004.8,6597.91,958.3,28.8,147.0
2019,Rajasthan,Rice,Rabi,581.5,3271.4,1902.32,47.9,18.0,141.2
2019,Rajasthan,Rice,Zaid,906.5,3457.9,3134.59,169.8,23.9,153.4
2019,Rajasthan,Wheat,Kharif,419.0,2837.9,1189.08,973.3,29.0,121.3
2019,Rajasthan,Wheat,Rabi,2767.0,2981.9,8250.92,129.3,18.5,168.8
2019,Rajasthan,Wheat,Zaid,585.2,2878.2,1684.32,133.3,29.9,174.2
2019,Rajasthan,Maize,Kharif,1891.0,1528.8,2890.96,904.9,22.8,176.1
2019,Rajasthan,Maize,Rabi,1491.1,1637.9,2442.27,109.0,22.5,141.9
2019,Rajasthan,Maize,Zaid,1911.6,1902.5,3636.82,30.0,28.0,159.9
2019,Rajasthan,Cotton,Kharif,367.0,1606.2,589.48,716.8,21.8,137.8
2019,Rajasthan,Cotton,Rabi,212.6,1225.4,260.52,173.6,14.7,152.2
2019,Rajasthan,Sugarcane,Kharif,59098.1,696.5,41161.83,826.7,25.0,152.6
2019,Rajasthan,Sugarcane,Rabi,51071.3,634.0,32379.2,56.6,13.7,135.2
2019,Rajasthan,Sugarcane,Zaid,50904.0,742.1,37775.86,30.0,25.9,145.3
2019,Rajasthan,Pulses,Kharif,634.6,1362.6,864.71,832.3,25.8,154.5
2019,Rajasthan,Pulses,Rabi,825.1,1242.2,1024.94,30.0,13.5,174.2
2019,Rajasthan,Pulses,Zaid,521.9,1074.5,560.78,100.1,30.6,115.3
2019,Rajasthan,Soybean,Kharif,859.7,945.0,812.42,927.5,27.6,116.1
2019,Rajasthan,Groundnut,Kharif,1107.7,726.0,804.19,866.3,27.4,138.8
2019,Rajasthan,Groundnut,Rabi,1010.9,739.6,747.66,67.7,23.1,162.0
2019,Rajasthan,Groundnut,Zaid,935.5,683.3,639.23,238.4,35.1,165.4
2019,Maharashtra,Rice,Kharif,2139.9,3677.5,7869.48,976.6,25.4,105.4
2019,Maharashtra,Rice,Rabi,881.7,3961.3,3492.68,272.8,18.1,143.2
2019,Maharashtra,Rice,Zaid,1076.1,3708.9,3991.15,100.9,26.0,127.8
2019,Maharashtra,Wheat,Kharif,440.9,3153.4,1390.33,780.9,20.5,157.1
2019,Maharashtra,Wheat,Rabi,3024.4,3879.3,11732.55,113.2,16.3,158.9
2019,Maharashtra,Wheat,Zaid,666.6,3946.3,2630.6,41.8,34.1,180.5
2019,Maharashtra,Maize,Kharif,2548.2,1834.0,4673.4,789.1,25.7,94.9
2019,Maharashtra,Maize,Rabi,1467.3,1790.1,2626.61,123.8,13.4,159.9
2019,Maharashtra,Maize,Zaid,1862.6,2012.5,3748.48,141.4,26.0,141.2
2019,Maharashtra,Cotton,Kharif,415.0,1439.1,597.23,819.2,26.2,159.0
2019,Maharashtra,Cotton,Rabi,297.4,1703.5,506.62,181.7,10.6,120.1
2019,Maharashtra,Sugarcane,Kharif,68915.8,910.1,62720.27,833.8,28.5,142.2
2019,Maharashtra,Sugarcane,Rabi,64697.2,912.9,59062.07,246.4,19.0,129.7
2019,Maharashtra,Sugarcane,Zaid,57758.9,744.6,43007.28,85.4,29.6,165.9
2019,Maharashtra,Pulses,Kharif,637.8,1638.6,1045.1,878.9,31.6,129.8
2019,Maharashtra,Pulses,Rabi,867.6,1455.5,1262.79,39.4,21.2,118.9
2019,Maharashtra,Pulses,Zaid,490.9,1648.5,809.25,121.3,30.5,84.7
2019,Maharashtra,Soybean,Kharif,1028.7,977.1,1005.14,911.7,28.5,154.2
2019,Maharashtra,Groundnut,Kharif,1381.9,1001.2,1383.56,818.0,29.9,196.8
2019,Maharashtra,Groundnut,Rabi,1304.4,823.9,1074.7,139.9,14.7,119.6
2019,Maharashtra,Groundnut,Zaid,1220.7,1024.0,1250.0,152.2,31.1,127.2
2019,Karnataka,Rice,Kharif,2472.4,5146.4,12723.96,771.7,26.7,126.2
2019,Karnataka,Rice,Rabi,1008.8,4925.1,4968.44,197.9,19.2,186.9
2019,Karnataka,Rice,Zaid,1191.8,4273.7,5093.4,30.0,28.5,160.9
2019,Karnataka,Wheat,Kharif,492.3,4525.4,2227.85,664.0,28.8,111.9
2019,Karnataka,Wheat,Rabi,3935.2,3413.2,13431.62,130.3,23.3,154.8
2019,Karnataka,Wheat,Zaid,746.2,3574.1,2666.99,155.4,33.6,173.6
2019,Karnataka,Maize,Kharif,3034.5,2611.0,7923.08,809.1,27.7,159.5
2019,Karnataka,Maize,Rabi,2225.9,2240.0,4986.02,161.9,17.5,129.3
2019,Karnataka,Maize,Zaid,2146.3,2335.9,5013.54,30.0,27.3,155.7
2019,Karnataka,Cotton,Kharif,548.8,1862.9,1022.36,784.5,27.2,102.4
2019,Karnataka,Cotton,Rabi,309.6,1889.1,584.87,98.2,20.4,136.1
2019,Karnataka,Sugarcane,Kharif,81317.8,982.5,79894.74,702.4,27.2,112.3
2019,Karnataka,Sugarcane,Rabi,84261.7,822.3,69288.4,124.7,15.7,156.9
2019,Karnataka,Sugarcane,Zaid,67701.3,857.3,58040.32,132.4,27.9,126.4
2019,Karnataka,Pulses,Kharif,818.0,1818.9,1487.86,858.5,32.2,73.5
2019,Karnataka,Pulses,Rabi,987.0,1710.1,1687.87,30.0,17.0,130.7
2019,Karnataka,Pulses,Zaid,567.9,1752.6,995.3,57.8,26.9,138.3
2019,Karnataka,Soybean,Kharif,1194.2,1320.1,1576.46,788.2,30.2,111.8
2019,Karnataka,Groundnut,Kharif,1618.3,1098.1,1777.06,889.1,26.9,134.3
2019,Karnataka,Groundnut,Rabi,1553.7,1162.0,1805.4,44.8,16.9,169.0
2019,Karnataka,Groundnut,Zaid,1164.7,984.8,1147.0,169.3,23.0,184.1
2019,Andhra Pradesh,Rice,Kharif,2366.7,4684.6,11087.04,784.7,23.3,155.2
2019,Andhra Pradesh,Rice,Rabi,884.9,4935.9,4367.78,260.4,12.7,126.4
2019,Andhra Pradesh,Rice,Zaid,1384.2,5297.2,7332.38,117.5,26.9,138.6
2019,Andhra Pradesh,Wheat,Kharif,551.6,4268.3,2354.39,713.2,26.1,129.5
2019,Andhra Pradesh,Wheat,Rabi,3144.3,3823.7,12022.86,128.1,18.6,115.5
2019,Andhra Pradesh,Wheat,Zaid,777.6,4290.4,3336.22,30.0,26.6,153.2
2019,Andhra Pradesh,Maize,Kharif,3126.5,2493.6,7796.24,975.6,22.5,108.0
2019,Andhra Pradesh,Maize,Rabi,1859.0,2138.1,3974.73,122.1,17.0,145.0
2019,Andhra Pradesh,Maize,Zaid,2137.4,2297.1,4909.82,166.5,25.2,106.2
2019,Andhra Pradesh,Cotton,Kharif,483.0,1982.7,957.64,934.3,34.2,132.4
2019,Andhra Pradesh,Cotton,Rabi,326.2,1777.8,579.92,134.3,16.3,143.1
2019,Andhra Pradesh,Sugarcane,Kharif,91695.1,923.7,84698.76,842.3,26.9,146.1
2019,Andhra Pradesh,Sugarcane,Rabi,74364.5,970.7,72185.62,93.2,16.1,185.3
2019,Andhra Pradesh,Sugarcane,Zaid,73677.9,1059.3,78047.0,75.0,24.7,163.2
2019,Andhra Pradesh,Pulses,Kharif,776.3,1516.3,1177.1,941.5,27.8,155.5
2019,Andhra Pradesh,Pulses,Rabi,1202.8,1921.3,2310.94,30.0,20.5,155.5
2019,Andhra Pradesh,Pulses,Zaid,706.3,1909.0,1348.33,205.0,27.8,98.5
2019,Andhra Pradesh,Soybean,Kharif,1223.7,1171.8,1433.93,866.6,30.5,143.3
2019,Andhra Pradesh,Groundnut,Kharif,1782.0,1232.6,2196.49,832.9,27.9,157.0
2019,Andhra Pradesh,Groundnut,Rabi,1515.0,1021.4,1547.42,122.4,13.8,152.5
2019,Andhra Pradesh,Groundnut,Zaid,1201.4,1152.8,1384.97,222.2,27.4,129.0
2019,Tamil Nadu,Rice,Kharif,2960.3,4766.0,14108.79,865.7,30.6,147.1
2019,Tamil Nadu,Rice,Rabi,912.8,4320.9,3944.12,166.8,18.2,166.6
2019,Tamil Nadu,Rice,Zaid,1295.3,5009.6,6488.93,232.7,30.8,147.8
2019,Tamil Nadu,Wheat,Kharif,494.1,4559.3,2252.75,709.3,26.7,133.0
2019,Tamil Nadu,Wheat,Rabi,3246.7,3995.9,12973.49,46.5,12.2,109.8
2019,Tamil Nadu,Wheat,Zaid,725.2,4830.5,3503.08,174.6,31.0,134.7
2019,Tamil Nadu,Maize,Kharif,2901.9,2547.8,7393.46,904.0,31.5,180.5
2019,Tamil Nadu,Maize,Rabi,1794.4,2224.9,3992.36,125.9,16.1,126.1
2019,Tamil Nadu,Maize,Zaid,2354.1,2137.2,5031.18,215.1,26.9,110.7
2019,Tamil Nadu,Cotton,Kharif,567.6,1806.7,1025.48,933.9,26.3,155.8
2019,Tamil Nadu,Cotton,Rabi,340.8,2072.2,706.21,30.0,15.5,144.1
2019,Tamil Nadu,Sugarcane,Kharif,78593.6,896.0,70419.87,896.7,28.9,148.4
2019,Tamil Nadu,Sugarcane,Rabi,79670.8,883.1,70357.28,280.8,12.8,108.6
2019,Tamil Nadu,Sugarcane,Zaid,77305.4,1006.8,77831.08,43.9,26.4,145.6
2019,Tamil Nadu,Pulses,Kharif,917.3,1781.6,1634.26,945.1,31.6,148.6
2019,Tamil Nadu,Pulses,Rabi,1346.2,1827.3,2459.91,30.0,19.8,131.0
2019,Tamil Nadu,Pulses,Zaid,699.8,1980.5,1385.95,208.7,29.2,157.9
2019,Tamil Nadu,Soybean,Kharif,1275.3,1416.6,1806.59,918.6,32.1,156.2
2019,Tamil Nadu,Groundnut,Kharif,1771.0,1064.6,1885.41,861.7,25.9,152.4
2019,Tamil Nadu,Groundnut,Rabi,1613.9,1122.5,1811.6,152.0,18.6,141.2
2019,Tamil Nadu,Groundnut,Zaid,1216.1,1165.0,1416.76,179.7,32.5,145.3
2019,West Bengal,Rice,Kharif,2493.7,4646.8,11587.73,817.9,27.7,147.0
2019,West Bengal,Rice,Rabi,957.1,4042.7,3869.27,134.9,18.5,150.2
2019,West Bengal,Rice,Zaid,1208.0,4876.7,5891.05,87.6,28.4,122.5
2019,West Bengal,Wheat,Kharif,552.7,3347.8,1850.33,728.1,29.1,126.9
2019,West Bengal,Wheat,Rabi,3234.1,4190.4,13552.17,30.0,16.3,187.0
2019,West Bengal,Wheat,Zaid,641.6,3484.9,2235.91,30.0,29.9,164.7
2019,West Bengal,Maize,Kharif,2860.3,2091.4,5982.03,954.8,30.0,137.5
2019,West Bengal,Maize,Rabi,2073.3,2175.1,4509.63,34.4,20.7,134.8
2019,West Bengal,Maize,Zaid,2132.3,1928.4,4111.93,66.5,24.2,176.1
2019,West Bengal,Cotton,Kharif,486.8,2093.9,1019.31,939.4,28.8,134.2
2019,West Bengal,Cotton,Rabi,321.2,2025.9,650.72,177.8,19.9,173.2
2019,West Bengal,Sugarcane,Kharif,74450.3,999.7,74427.96,906.7,24.9,138.8
2019,West Bengal,Sugarcane,Rabi,71180.6,898.8,63977.12,59.4,17.9,104.2
2019,West Bengal,Sugarcane,Zaid,66894.5,854.4,57154.66,65.5,26.1,164.9
2019,West Bengal,Pulses,Kharif,820.2,1422.7,1166.9,848.0,26.6,79.4
2019,West Bengal,Pulses,Rabi,997.6,1727.5,1723.35,180.8,19.1,152.0
2019,West Bengal,Pulses,Zaid,611.0,1438.6,878.98,74.3,28.0,111.0
2019,West Bengal,Soybean,Kharif,1240.1,1245.9,1545.04,920.2,25.4,140.9
2019,West Bengal,Groundnut,Kharif,1601.2,891.0,1426.67,843.1,25.0,133.0
2019,West Bengal,Groundnut,Rabi,1607.7,1112.0,1787.76,171.3,16.5,128.9
2019,West Bengal,Groundnut,Zaid,1247.6,1083.2,1351.4,56.1,28.2,123.8
2019,Odisha,Rice,Kharif,2139.7,4070.7,8710.08,881.5,26.3,167.2
2019,Odisha,Rice,Rabi,771.1,4189.1,3230.22,196.0,24.2,122.8
2019,Odisha,Rice,Zaid,1143.9,3344.9,3826.23,135.8,24.9,126.8
2019,Odisha,Wheat,Kharif,443.4,3228.3,1431.43,940.3,33.2,150.9
2019,Odisha,Wheat,Rabi,2727.2,2938.9,8014.97,129.6,16.5,145.3
2019,Odisha,Wheat,Zaid,640.4,3450.1,2209.44,111.1,26.6,179.3
2019,Odisha,Maize,Kharif,2020.4,2143.6,4330.93,732.9,23.3,190.0
2019,Odisha,Maize,Rabi,1518.7,2079.5,3158.14,262.5,17.5,162.1
2019,Odisha,Maize,Zaid,1955.4,2101.3,4108.88,30.0,29.6,108.7
2019,Odisha,Cotton,Kharif,447.3,1360.9,608.73,912.2,29.5,146.5
2019,Odisha,Cotton,Rabi,245.2,1746.4,428.22,66.3,19.0,132.7
2019,Odisha,Sugarcane,Kharif,54129.3,850.1,46015.32,846.0,30.3,68.8
2019,Odisha,Sugarcane,Rabi,62447.9,687.8,42951.67,30.0,19.1,137.8
2019,Odisha,Sugarcane,Zaid,58372.2,724.9,42314.01,30.0,26.6,148.7
2019,Odisha,Pulses,Kharif,694.7,1252.3,869.97,888.2,21.7,146.4
2019,Odisha,Pulses,Rabi,918.0,1257.5,1154.38,218.7,22.5,161.3
2019,Odisha,Pulses,Zaid,497.6,1171.0,582.69,92.1,30.5,170.6
2019,Odisha,Soybean,Kharif,1014.5,1113.5,1129.65,842.8,31.1,146.0
2019,Odisha,Groundnut,Kharif,1335.3,791.3,1056.62,834.3,28.1,122.8
2019,Odisha,Groundnut,Rabi,1179.1,960.6,1132.64,37.2,18.2,90.0
2019,Odisha,Groundnut,Zaid,1085.4,838.5,910.11,147.7,21.7,213.4
2019,Bihar,Rice,Kharif,1983.2,3401.6,6746.05,882.3,31.3,114.0
2019,Bihar,Rice,Rabi,826.0,4518.3,3732.12,35.7,18.8,123.7
2019,Bihar,Rice,Zaid,1135.3,3576.5,4060.4,106.9,30.6,152.4
2019,Bihar,Wheat,Kharif,444.6,3341.2,1485.5,879.2,30.9,147.7
2019,Bihar,Wheat,Rabi,2727.5,3776.3,10299.86,125.4,21.3,169.7
2019,Bihar,Wheat,Zaid,643.5,3237.5,2083.33,30.0,25.7,147.4
2019,Bihar,Maize,Kharif,2449.0,2100.0,5142.9,829.8,32.8,151.3
2019,Bihar,Maize,Rabi,1556.9,1835.5,2857.69,197.1,21.1,154.2
2019,Bihar,Maize,Zaid,2033.8,1898.6,3861.37,170.8,27.5,143.1
2019,Bihar,Cotton,Kharif,417.3,1500.6,626.2,851.2,24.2,98.9
2019,Bihar,Cotton,Rabi,247.6,1559.6,386.16,244.2,16.1,106.9
2019,Bihar,Sugarcane,Kharif,70642.7,820.4,57955.27,930.8,21.3,122.9
2019,Bihar,Sugarcane,Rabi,60087.7,787.1,47295.03,210.1,13.8,98.9
2019,Bihar,Sugarcane,Zaid,61294.4,817.6,50114.3,315.2,30.0,154.4
2019,Bihar,Pulses,Kharif,708.8,1588.4,1125.86,881.4,25.7,133.0
2019,Bihar,Pulses,Rabi,853.3,1317.1,1123.88,112.1,20.9,124.6
2019,Bihar,Pulses,Zaid,457.3,1454.6,665.19,151.7,25.0,163.5
2019,Bihar,Soybean,Kharif,901.4,955.0,860.84,832.0,25.1,153.8
2019,Bihar,Groundnut,Kharif,1590.0,776.2,1234.16,867.8,23.2,151.0
2019,Bihar,Groundnut,Rabi,1230.3,960.8,1182.07,164.2,16.3,141.6
2019,Bihar,Groundnut,Zaid,1090.9,906.8,989.23,131.1,28.1,141.0
2019,Gujarat,Rice,Kharif,2624.4,5347.3,14033.45,797.0,31.4,132.5
2019,Gujarat,Rice,Rabi,1015.1,4766.5,4838.47,180.1,15.8,162.4
2019,Gujarat,Rice,Zaid,1351.5,5435.1,7345.54,219.8,28.7,120.4
2019,Gujarat,Wheat,Kharif,664.5,3934.8,2614.67,751.0,29.9,150.3
2019,Gujarat,Wheat,Rabi,3632.3,3745.5,13604.78,109.6,21.7,180.6
2019,Gujarat,Wheat,Zaid,718.4,4227.0,3036.68,141.4,27.7,204.5
2019,Gujarat,Maize,Kharif,2821.8,2475.5,6985.37,981.1,30.9,167.6
2019,Gujarat,Maize,Rabi,2113.9,2589.5,5473.94,77.3,16.9,134.9
2019,Gujarat,Maize,Zaid,2427.0,2322.5,5636.71,38.8,26.2,135.1
2019,Gujarat,Cotton,Kharif,522.7,2256.5,1179.47,852.7,28.7,101.1
2019,Gujarat,Cotton,Rabi,353.0,2090.5,737.95,186.7,14.5,109.2
2019,Gujarat,Sugarcane,Kharif,86828.2,1106.6,96084.09,1005.7,25.9,138.6
2019,Gujarat,Sugarcane,Rabi,81256.3,934.2,75909.64,126.1,15.0,155.7
2019,Gujarat,Sugarcane,Zaid,69962.5,1019.6,71333.76,126.5,25.8,170.9
2019,Gujarat,Pulses,Kharif,1015.0,2075.8,2106.94,898.7,26.4,104.8
2019,Gujarat,Pulses,Rabi,1271.5,2028.8,2579.62,182.4,25.0,149.8
2019,Gujarat,Pulses,Zaid,699.3,1634.5,1143.01,95.3,29.5,154.6
2019,Gujarat,Soybean,Kharif,1170.2,1322.1,1547.12,778.8,22.5,152.7
2019,Gujarat,Groundnut,Kharif,1697.9,1184.7,2011.5,677.8,30.5,140.8
2019,Gujarat,Groundnut,Rabi,1638.3,1271.2,2082.61,119.9,18.2,137.5
2019,Gujarat,Groundnut,Zaid,1468.8,1277.0,1875.66,96.8,29.7,155.0
2019,Telangana,Rice,Kharif,2314.8,4369.0,10113.36,831.1,29.6,117.5
2019,Telangana,Rice,Rabi,901.8,4690.3,4229.71,119.3,17.3,144.9
2019,Telangana,Rice,Zaid,1407.0,4857.5,6834.5,96.0,28.0,107.2
2019,Telangana,Wheat,Kharif,462.7,3649.0,1688.39,825.6,29.5,141.3
2019,Telangana,Wheat,Rabi,2796.3,3807.0,10645.51,68.3,15.2,136.4
2019,Telangana,Wheat,Zaid,640.7,3936.3,2521.99,168.0,25.1,150.4
2019,Telangana,Maize,Kharif,2474.7,2526.6,6252.58,845.0,28.4,131.6
2019,Telangana,Maize,Rabi,1722.7,2326.8,4008.38,95.8,18.0,121.8
2019,Telangana,Maize,Zaid,1963.7,2281.8,4480.77,193.0,20.3,163.4
2019,Telangana,Cotton,Kharif,434.1,1728.6,750.39,832.0,31.6,132.1
2019,Telangana,Cotton,Rabi,318.5,1536.0,489.22,181.0,16.3,75.2
2019,Telangana,Sugarcane,Kharif,69246.9,909.5,62980.06,881.3,25.0,139.2
2019,Telangana,Sugarcane,Rabi,58669.6,993.0,58258.91,284.8,17.9,116.7
2019,Telangana,Sugarcane,Zaid,62983.1,964.1,60722.01,49.2,21.1,128.9
2019,Telangana,Pulses,Kharif,769.8,1736.8,1336.99,667.9,26.0,166.0
2019,Telangana,Pulses,Rabi,1053.4,1482.2,1561.35,266.1,17.7,163.0
2019,Telangana,Pulses,Zaid,659.2,1789.7,1179.77,217.2,31.9,179.0
2019,Telangana,Soybean,Kharif,1102.5,1074.1,1184.2,789.7,28.3,183.1
2019,Telangana,Groundnut,Kharif,1574.4,875.4,1378.23,857.2,26.9,144.6
2019,Telangana,Groundnut,Rabi,1268.0,954.9,1210.81,42.3,20.0,168.9
2019,Telangana,Groundnut,Zaid,1162.1,879.5,1022.07,85.1,31.6,158.0
2019,Chhattisgarh,Rice,Kharif,2053.9,3734.6,7670.49,789.5,24.2,127.4
2019,Chhattisgarh,Rice,Rabi,734.2,3896.6,2860.88,46.0,19.4,194.1
2019,Chhattisgarh,Rice,Zaid,916.8,4118.4,3775.75,194.2,32.4,185.0
2019,Chhattisgarh,Wheat,Kharif,420.9,3182.7,1339.6,897.5,26.9,119.0
